modernas	modern
suave	gentle
sencilla	easy
censura	uncensored
rebelde	rebellious
enciclopédico	encyclopedic
efectivamente	effectively
efectivamente	indeed
aparente	apparent
realistas	realistic
animada	animated
animada	lively
intensa	intense
rectangular	rectangular
acústica	acoustic
administrativas	administrative
eventualmente	eventually
ocasionalmente	occasional
ocasionalmente	occasionally
provinciales	provincial
amistoso	friendly
amistoso	amicable
temprano	early
serio	serious
inteligente	clever
inteligente	intelligent
inteligente	smart
ficticio	fictitious
ficticio	fictional
abundantes	plentiful
abundantes	abundant
antártida	antarctic
filadelfia	philly
falso	false
jurídico	juridical
jurídico	legal
masiva	massive
regulación	regulatory
suficientes	enough
suficientes	sufficient
non	non
dorada	golden
frontal	frontal
considerablemente	considerably
tragedia	tragic
costera	coastal
literarios	literary
viejos	old
calvo	bald
sabio	wise
caridad	charitable
exclusiva	exclusive
major	major
necesariamente	necessarily
malo	bad
urbanas	urban
ejemplar	exemplary
normales	normal
estelar	stellar
activamente	actively
pura	pure
intenso	intensive
intenso	intense
extenso	extensive
mega	mega
extranjera	foreign
ética	ethical
arquitectónico	architectural
típicos	typical
independientemente	independently
independientemente	regardless
astronómico	astronomical
artísticas	artistic
lujo	deluxe
específicas	specific
sueca	swedish
convencional	conventional
fieles	loyal
southern	southern
correctamente	properly
correctamente	correctly
significativo	meaningful
significativo	significant
dramática	dramatic
espaciales	spatial
mortal	deadly
mortal	fatal
mortal	mortal
extranjeras	foreign
etnia	ethnic
ricos	rich
ricos	wealthy
conservadores	conservative
profundamente	profoundly
profundamente	deeply
fresco	fresh
geográficas	geographic
geográficas	geographical
hermosa	beautiful
hermosa	gorgeous
propiamente	proper
electrónicos	electronic
sólido	solid
submarino	underwater
prevención	preventive
solares	solar
progresivo	progressive
atractivo	attractive
cinematográfico	cinematographic
cinematográfico	cinematic
recta	straight
ecuatoriano	ecuadorian
celeste	celestial
falsa	false
danés	danish
geometría	geometric
macizo	solid
conjuntamente	jointly
potente	powerful
potente	potent
respectivos	respective
cerebral	cerebral
determinados	certain
soberano	sovereign
temporalmente	temporarily
temporalmente	temporary
ilustres	illustrious
sudoeste	southwestern
sudoeste	southwest
departamental	departmental
cerrar	close
extendido	widespread
ilegal	illegal
ilegal	unlawful
escocés	scottish
poderosa	mighty
poderosa	powerful
escasos	scarce
escasos	meager
adolescentes	teenage
adolescentes	adolescent
habituales	habitual
habituales	usual
accesible	accessible
accesible	affordable
aproximada	approximate
parlamentarias	parliamentary
colectiva	collective
hambre	hungry
notablemente	notably
notablemente	remarkably
notablemente	noticeably
irregular	uneven
irregular	irregular
consecutivos	consecutive
famosas	famous
únicas	unique
seguramente	surely
never	never
húmedo	humid
húmedo	wet
leal	loyal
visuales	visual
radial	radial
nocturno	nocturnal
celta	celtic
funcional	functional
puro	pure
separada	separate
inmediata	immediate
típicamente	typically
dramático	dramatic
croata	croatian
perdón	sorry
públicamente	publicly
navales	naval
noveno	ninth
superficial	superficial
superficial	shallow
gubernamental	governmental
estratégica	strategic
secundarias	secondary
útiles	useful
útiles	helpful
estrechamente	closely
ucraniano	ukrainian
artísticos	artistic
full	full
regularmente	regularly
noruego	norwegian
consistente	consistent
rítmica	rhythmic
dulces	sweet
grueso	thick
relativo	relative
eficaz	efficient
eficaz	effective
ambientales	environmental
consecutivas	consecutive
conveniente	convenient
usted	you
over	over
plus	plus
when	when
how	how
four	four
under	under
nuestras	our
ten	ten
suya	yours
noventa	ninety
